MALE,06071960,NONE
FEMALE,29111970,NONE
FEMALE,09022003,ELEMENTARY
MALE,04092007,NONE
MALE,99991973,NONE
FEMALE,99991973,NONE
FEMALE,99991987,NONE
FEMALE,99992009,NONE
MALE,19091936,NONE
MALE,13031964,NONE
MALE,29091972,NONE
FEMALE,07121972,NONE
FEMALE,05111996,HIGH_SCHOOL
FEMALE,20061948,NONE
MALE,28011942,NONE
FEMALE,23121970,NONE
FEMALE,12041941,NONE
MALE,06051963,NONE
MALE,02061970,NONE
FEMALE,15051973,NONE
FEMALE,99991933,NONE
MALE,20051968,NONE
MALE,26101973,NONE
FEMALE,21091979,NONE
MALE,14102008,NONE
MALE,15031976,NONE
FEMALE,16061978,NONE
FEMALE,28121998,ELEMENTARY
FEMALE,10032003,ELEMENTARY
MALE,16031953,NONE
FEMALE,06121954,NONE
MALE,26111982,NONE
MALE,05071985,NONE
MALE,15091988,NONE
MALE,15051972,NONE
FEMALE,27031973,NONE
MALE,05031998,ELEMENTARY
FEMALE,27032005,NONE
FEMALE,04052009,NONE
FEMALE,10091936,NONE
MALE,11051940,NONE
FEMALE,10081977,NONE
MALE,19081972,NONE
MALE,27101992,NONE
FEMALE,21051993,NONE
MALE,09011994,NONE
MALE,27042006,NONE
MALE,22031939,NONE
FEMALE,13071945,NONE
FEMALE,03051975,BACHELOR
FEMALE,22061979,NONE
FEMALE,23121950,NONE
FEMALE,07071997,NONE
FEMALE,14021962,NONE
MALE,07051962,NONE
FEMALE,14121954,NONE
MALE,22121984,NONE
FEMALE,04011988,NONE
FEMALE,20021982,NONE
MALE,03061976,NONE
MALE,15112002,ELEMENTARY
MALE,11112007,NONE
MALE,24061960,NONE
MALE,18071947,NONE
FEMALE,01041954,NONE
MALE,09091973,NONE
FEMALE,99991971,NONE
MALE,07081992,NONE
FEMALE,07121993,NONE
MALE,10071973,NONE
FEMALE,08041978,NONE
MALE,29032000,ELEMENTARY
FEMALE,20102010,NONE
MALE,05091945,NONE
MALE,13011987,NONE
FEMALE,25021986,NONE
MALE,29012013,NONE
